"Id","Title","Body","Tags"
"110","Minimum SQL login permissions for an AD domain group","<p>I've created a web application that uses a SQL Server 2008 R2 database in the background. Application uses integrated security SSPI connection to database so users need granted access to database server.</p>

<p>All users that should be using the app are members of a particular AD domain group.</p>

<h2>This is what I've done</h2>

<ol>
<li><p>I've added a new Security Login on SQL Server level and provided AD domain group name which gets displayed as a group (based on icon)</p>

<p><img src=""http://i.stack.imgur.com/TJieE.png"" alt=""Server Login as group""></p></li>
<li><p>Then I've opened this server login properties dialog and opened <strong>User Mapping</strong> settings where I checked my particular database that I want users of this AD domain group to access (see below in the image)</p></li>
<li><p>In the list below are displayed <strong>Database role memberships</strong> where <strong>public</strong> is checked.</p></li>
<li><p>I created all objects in my database as a separate SQL Server user with <strong>securityadmin</strong> permission and provided schema <strong>dbo</strong> with every object as in:</p>

<pre><code>create table dbo.SomeTable ...
create procedure dbo.SomeProcedure ...
</code></pre></li>
<li><p>All database manipulation is done via <strong>stored procedures only</strong>. No table is directly accessed by the application.</p></li>
</ol>

<p>Based on these facts (dbo schema with my objects, AD domain group security login, stored procedure execution only) I wonder which role membership should be set on AD domain group server login to use my database.</p>

<p>Users should have permission to execute stored procedures. These on the other hand do everything else. CRUD operations on tables, execute user defined functions and call each other as well.</p>

<h2>Question</h2>

<p>Setting <strong>db_datareader</strong> and <strong>db_datawriter</strong> (as seen below) isn't sufficient as implied by the error screen my users get (stored procedures supposedly don't exists)?</p>

<p><strong>How do I set security permissions on my AD domain group so it will be able to see <code>dbo</code> objects and execute those stored procedures?</strong></p>

<p><img src=""http://i.stack.imgur.com/BVdz2.png"" alt=""Database membership for the user""></p>
","security permissions sql-server-2008-r2"
"111","Mule CXF client and receiving an unmarshaled object","<p>I'm trying to use the cxf:jaxws-client in conjunction with an http outbound endpoint to consume a web service using Mule 3.3. I have read a number of sources (e.g. <a href=""http://stackoverflow.com/questions/6345876/mule-cxf-marshall-response"">Mule CXF Marshall Response</a>) indicating if I want to receive the unmarshalled Java object returned by my operation, the cxf:jaxws-client element should be placed inside the outbound-endpoint, e.g. something like:</p>

<pre><code>&lt;http:outbound-endpoint host=""localhost"" port=""9001"" path=""crmService?wsdl""&gt;
   &lt;cxf:jaxws-client operation=""getSomething"" serviceClass=""com.something.Service"" /&gt;
&lt;/http:outbound-endpoint&gt;
</code></pre>

<p>However, when I try this I get a schema error in Mule Studio stating ""JAX-WS client is not allowed to be a child of element HTTP"". If the above is not allowed, how do I get hold of the unmarshalled object returned by the operation?</p>
","jaxb cxf mule"
"112","Getting around the lack of IsNumeric() function in SQL CE?","<p>SQL Server CE (3.5) doesn't appear to support the <code>IsNumeric</code> function.  What are some alternatives to achieve the same functionality?  Specifically, how would you test whether a <code>CAST</code> from a string to a <code>DECIMAL</code> datatype will succeed in SQLCE without <code>IsNumeric</code>?</p>
","sql-server-ce"
"113","Making sense of values that decrese less and less as distance increases","<p>I'm trying to come up with some formula to translate signal loss to distance.</p>

<p>Distance from Transmitter = x
Signal loss = y</p>

<p>x=0   y=0<BR>
x=10  y=11.6<BR>
x=20  y=20.2<BR>
x=30  y=25.9<BR></p>

<p>As you can see there is not a linear loss of signal as you travel in 10 meter steps away from the transmitter.</p>

<p>Is there some kind of equation that I can plug the signal loss into that will give me a rough estimate of the distance away from the transmitter I am?</p>

<p>Many Thanks,
Code</p>
","calculus real-analysis general-topology"
"114","jfreechart get the index of the dataset from the mouseevent coordinates","<p>I am working on making some interactions on JFreechart. </p>

<p>The thing we are trying to achieve is to get the index of the value(range and the domain) which is clicked by the mouse. In another words, we want to use the Mouse event to get the index of the data set both for the domain and the range values.</p>

<p>Another thing here is some data we get from xyPlot.getDomainCrosshairValue() is some number like,1.05358272E12 , how could I get the exactly time from this infomation?</p>

<p>Thanks a lot.</p>
","jfreechart"
"115","What is the difference between Linear search and Binary search?","<p>What is the difference between Linear search and Binary search?</p>
","algorithm search binary-search linear"
"116","advice on cms + e-commerce","<p>I'm building an estimate for a potential client. I'll do some more research if I get the project, but need some ideas for now. I'm trying to figure out a good solution that won't take several months to develop but will still provide good flexibility for future enhancements.</p>

<p>My options I believe are:</p>

<pre><code>cms+e-commerce plugin (e.g. drupal+ubercart)
e-commerce platform that is extendable (e.g. magento)
framework+e-commerce platform (e.g. ci+magento)
cms+e-commerce (e.g. wordpress+magento)
</code></pre>

<p>The site will be similar to etsy where users can have items that they sell with their own portfolio page. The client wants to add many custom features as well. Also, the site will serve up a lot of images and audio.</p>

<p>I'm concerned that using strictly a e-commerce platform will give me a lot of obstacles to overcome rather than use just a cart+framework. I know Magento is written on Zend, but while I have used Magento, I'm not very familiar with Zend and it seems to take quite a while to learn.</p>

<p>I have never used ubercart,wp e-commerce, or virtuemart, so I'm not sure of the limitations. The products will not need to be configurable. But we will need to store financial information. I'm thinking braintree's vault or authorize.net cim.</p>

<p>I'd like to do the framework+ecommerce platform route. But the client would also like a lower price option, I'm leaning towards drupal+ubercart.</p>

<p>Just would like some opinions from personal experience.</p>

<p>Thanks!</p>
","wordpress drupal e-commerce ubercart virtuemart"
"117","Send the whole Form data with delete click","<p><br />
I have a Delete button on Edit Form Mode.<br />
I want to send the whole form data to the controller when this button is clicked in Edit mode.</p>

<p>I have a ViewModel on View which has data in it and displayed to user with input fields. Now if user clicks Delete then this whole data needs to be sent to controller.</p>

<p>This is my delete method in Controller</p>

<pre><code>    [AcceptVerbs(HttpVerbs.Post)]
    public ActionResult Delete(CustomerVM customerVM)
    {
         //Delete logic here..
    }
</code></pre>

<p>What i have done is when user clicks delete button then i use below jquery to post whole data but it gives me error 'Stack overflow at line:0'</p>

<pre><code>&lt;button name=""Delete"" onclick=""$.post('/Customer/Delete',this); return false;"" type=""button""&gt;Delete&lt;/button&gt;
</code></pre>

<p>Do anyone have any idea how can i accomplish this thing?</p>

<p>Thanks,</p>
","c# post delete"
"118","I need help with this error: java.lang.NoSuchMethodError","<p>I have this Java code (JPA):</p>

<pre><code>String queryString = ""SELECT b  , sum(v.votedPoints) as votedPoint "" +
                       "" FROM Bookmarks b  "" +
                         "" LEFT OUTER JOIN Votes v "" +
                           "" on (v.organizationId = b.organizationId) "" + 
                         ""WHERE b.userId = 101  "" + 
                         ""GROUP BY b.organizationId "" +
                         ""ORDER BY votedPoint ascending "";
EntityManager em = getEntityManager();
Query query = em.createQuery(queryString);
query.setFirstResult(start);
query.setMaxResults(numRecords);
List results = query.getResultList();
</code></pre>

<p>I don't know what is wrong with my query because it gives me this error: </p>

<pre>
java.lang.NoSuchMethodError: org.hibernate.hql.antlr.HqlBaseParser.recover(Lantlr/RecognitionException;Lantlr/collections/impl/BitSet;)V
        at org.hibernate.hql.antlr.HqlBaseParser.fromJoin(HqlBaseParser.java:1802)
        at org.hibernate.hql.antlr.HqlBaseParser.fromClause(HqlBaseParser.java:1420)
        at org.hibernate.hql.antlr.HqlBaseParser.selectFrom(HqlBaseParser.java:1130)
        at org.hibernate.hql.antlr.HqlBaseParser.queryRule(HqlBaseParser.java:702)
        at org.hibernate.hql.antlr.HqlBaseParser.selectStatement(HqlBaseParser.java:296)
        at org.hibernate.hql.antlr.HqlBaseParser.statement(HqlBaseParser.java:159)
        at org.hibernate.hql.ast.QueryTranslatorImpl.parse(QueryTranslatorImpl.java:271)
        at org.hibernate.hql.ast.QueryTranslatorImpl.doCompile(QueryTranslatorImpl.java:180)
        at org.hibernate.hql.ast.QueryTranslatorImpl.compile(QueryTranslatorImpl.java:134)
        at org.hibernate.engine.query.HQLQueryPlan.(HQLQueryPlan.java:101)
        at org.hibernate.engine.query.HQLQueryPlan.(HQLQueryPlan.java:80)
        at org.hibernate.engine.query.QueryPlanCache.getHQLQueryPlan(QueryPlanCache.java:94)
        at org.hibernate.impl.AbstractSessionImpl.getHQLQueryPlan(AbstractSessionImpl.java:156)
        at org.hibernate.impl.AbstractSessionImpl.createQuery(AbstractSessionImpl.java:135)
        at org.hibernate.impl.SessionImpl.createQuery(SessionImpl.java:1650)

</pre>

<p>Thanks.</p>
","java hibernate reflection nosuchmethoderror"
"119","How do I check/change my sound card's sample rate?","<p>I'm playing around with XAudio2 to send PCM format waves to my soundcard, and I encountered a problem which made me think about this question. I created a .csv file with MATLAB of a sine wave at 440 Hz, and at first I had sampled it at 1 KHz (for 1 second).</p>

<p>My C++ program would then load that file and send the buffer to the soundcard. The problem is that the output was distorted (clipped), and didn't sound like a sine wave at all. Then I thought, maybe the sound card doesn't like 1 kHz sampling rates, so I doubled it, and suddenly everything was fine.</p>

<p>Is there a way to confirm that this really was the problem?</p>
","c++ soundcard xaudio2"
"120","Postgresql: is ""public."" an standard way to fully qualify table name in Postgresql?","<p>If i don't qualify a ""public."" on account_category table, *out account_category* will have a conflict with account_category table name.</p>

<p>Does ""public."" also works on other rdbms?</p>

<pre><code>CREATE OR REPLACE FUNCTION X_RAIN(x VARCHAR, OUT user_id VARCHAR, out account_category varchar, out depth int) returns setof record
AS 
$$
BEGIN
     return query 
     select uar.account_id, c.account_category, c.depth
     from account_with_types_chart_of_account uar
     inner join public.account_category c using(account_category_id);
END;
$$ LANGUAGE 'plpgsql';
</code></pre>
","postgresql namespaces"
"121","unload View after calling presentModalViewController?","<p>I have some view controller which I call with the following method:</p>

<pre><code>myViewController *myView = [[myViewController alloc] initWithNibName:nil bundle:nil];
    myView.modalTransitionStyle = UIModalTransitionStyleCoverVertical;
    [self presentModalViewController:myView animated:YES];
    [myView release];
</code></pre>

<p>if I use the app a few times I get a memory warning and the app freezes for a few seconds! I think the reason is that i switch the view but not discharged the old one !!?!!?!!
(i set my outlets to nil and release them)</p>

<p>how can I unload the old view after switching to the new one?</p>

<p>Thanks in advance</p>
","iphone memory-management sdk view switch"
"122","Export my Rails site to Phonegap","<p>I want to use Phonegap for create light cellular version of my site.</p>

<p>Is there any way to save all my HTML`s and assets (after merge all the partials, create the entire assets pipeline items and convert haml and coffees to html and javascript)?</p>

<p>I want to use Rails for writing my client side code and save it.</p>

<p>Thanks!</p>
","ruby-on-rails phonegap"
"123","O(1) algorithm to determine if node is descendant of another node in a multiway tree?","<p>Imagine the following tree:</p>

<pre><code>    A
   / \
  B   C
 / \   \
D   E   F
</code></pre>

<p>I'm looking for a way to query if for example F is a descendant of A (note: F doesn't need to be a <strong>direct</strong> descendant of F), which, in this particular case would be true. Only a limited amount of potential parent nodes need to be tested against a larger potential descendants node pool.</p>

<p>UPDATE: when testing whether a node is a descendant of a node in the potential parent pool, it needs to be tested against ALL potential parent nodes.</p>

<p>This is what a came up with:</p>

<ul>
<li><p>Convert multiway tree to a trie, i.e. assign the following prefixes to every node in the above tree:</p>

<pre><code> A = 1
 B = 11
 C = 12
 D = 111
 E = 112
 F = 121
</code></pre></li>
<li><p>Then, reserve a bit array for every possible prefix size and add the parent nodes to be tested against, i.e. if C is added to the potential parent node pool, do:</p>

<pre><code>  1    2    3  &lt;- Prefix length

*[1]  [1]  ...
 [2] *[2]  ...
 [3]  [3]  ...
 [4]  [4]  ...
 ...  ...
</code></pre></li>
<li><p>When testing if a node is a descendant of a potential parent node, take its trie prefix, lookup the first character in the first ""prefix array"" (see above) and if it is present, lookup the second prefix character in the second ""prefix array"" and so on, i.e. testing F leads to:</p>

<pre><code> F = 1    2    1

   *[1]  [1]  ...
    [2] *[2]  ...
    [3]  [3]  ...
    [4]  [4]  ...
    ...  ...
</code></pre>

<p>so yes F, is a descendant of C.</p></li>
</ul>

<p>This test seems to be worst case O(n), where n = maximum prefix length = maximum tree depth, so its worst case is exactly equal to the obvious way of just going up the tree and comparing nodes. However, this performs much better if the tested node is near the bottom of the tree and the potential parent node is somewhere at the top. Combining both algorithms would mitigate both worst case scenarios. However, memory overhead is a concern.</p>

<p>Is there another way for doing that? Any pointers greatly appreciated!</p>
","algorithm tree trie descendant"
"124","Regex for parsing command line arguments fails","<p>I am trying to use a regex to parse out the key-value pairs of command-line switches. Here's what I've got so far:</p>

<pre><code>(?&lt;=(^-{1,2}| -{1,2}|^/| /))(?&lt;name&gt;[\w]+)[ :""]*(?&lt;value&gt;[\w.?=&amp;+ :/|\\]*)(?=[ ""]|$)
</code></pre>

<p>It seems to parse everything properly... almost. If there are hyphens in the value, it craps out on the match. How do I tweak this to work on all the test examples below?</p>

<p>test examples (all valid):</p>

<pre><code>-s  -i:C:\Users\Fozzie\Workspace\TheProject\TheProject-Stack-1_5\db\DB Scripts\ -h:local:host -d:theDB
-o:""C:\temp\db\"" -s -r -host:localhost --d theDB
-s  -i:""C:\Users\Fozzie\Workspace\TheProject\TheProject-Stack-1_5\db\DB -Scripts\"" -h:localhost -d:theDB
-s  -d http://www.theproject.com -h:localhost -d:theDB
-i:""C:\Users\Fozzie\Workspace\TheProject\TheProject_Stack_1_5\db\DB Scripts\"" --h:localhost -d:theDB
-h:localhost -i:""C:\Users\Fozzie\Workspace\TheProject\TheProject-Stack_1_5\db\DB Scripts\""  -d:theDB
--d theDB   -o:""C:\temp\db\"" -host=local-host     -r
</code></pre>

<p>The regex fails when the value part is something like </p>

<pre><code>""C:\Users\Fozzie\Workspace\TheProject\TheProject-Stack-1_5\db\DB Scripts\""
</code></pre>

<p>or <code>""local-host""</code> due to the hyphens therein. It is seen as the start of a new switch.</p>

<p>PS: I don't want to use a canned options library like getops. I'm interested in getting the regex right.</p>

<p>Thanks.</p>

<p>UPDATE: Sorry for the missing detail: this is a .NET regex.</p>
",".net regex command-line"
"125","C++ & DirectX - setting shader","<p>Does someone know a fast way to invoke shader processing via DirectX?</p>

<p>Right now I'm setting shaders using <code>D3DXCreateEffectFromFile</code> calls, which create shaders in runtime <em>(once per each shader)</em> from <code>*.fx</code> files.</p>

<p><em>Rendering part for every object (<strong>every patch in my case - see further</strong>) then means something like:</em></p>

<pre><code>// --------------------
// Preprocessing
effect-&gt;Begin();
effect-&gt;BeginPass(0);
effect-&gt;SetMatrix (or Vector or whatever - internal shader parameters) (...)
effect-&gt;CommitChanges();

// --------------------
// Geometry rendering

// Pass the geometry to render
// ...

// --------------------
// Postprocessing

// End 'effect' passes
effect-&gt;EndPass();
effect-&gt;End();
</code></pre>

<p>This is okay, but the profiler shows weird things - <strong><code>preprocessing</code></strong> <em>(see code)</em> takes about 60% of time <em>(I'm rendering terrain object of 256 patches where every patch contains about 10k vertices)</em>.</p>

<p>Actual geometry rendering takes ~35% and postprocessing - 5% of total rendering time.</p>

<p>This seems pretty strange to me and I guess that <code>D3DXEffect</code> interface may not be the best solution for this sort of things. </p>

<p><strong>I've got 2 questions:</strong></p>

<p><strong>1. Do I need to implement my own shader controller / wrapper (probably, low-level) and where should I start from?</strong></p>

<p><strong>2. Would compiling shaders help to somehow improve parameter setting performance?</strong></p>

<p>Maybe somebody knows how to solve this kind of problem / some implemented shader interface or could give some advices about how is this kind of problem solved in modern game engines.</p>

<p>Thank you.</p>
","c++ performance directx shader"
"126","Outlook keyboard shortcut to move message to a different folder","<p>I am trying to organize my inbox and move my messages to certain folders. Is there a keyboard shortcut I can set up like:</p>

<p>CRTL + 1 : Personal Folder</p>

<p>CRTL + 2 : Task 1 Folder</p>

<p>CRTL + 3 : Task 2 Folder</p>
","outlook organization"
"127","There is a way to know and check ""who make""/""where come from"" a NET/HTTP request?","<p>There is a way to know and check ""who make""/""where come from"" a NET/HTTP request? </p>

<p>P.S.: I am using Ruby on Rails.</p>
","ruby-on-rails http web-applications request"
"128","Creating a virtual NIC on windows 7","<p>How to create a virtual NIC on Windows 7 ? I need the Device Drivers for installing the Virtual NIC that can be listed in Device Manager.</p>

<p>When Enabled it should connect to the same computer. I want to share my internet connection on this virtual LAN and then use it.</p>
","networking"
"129","Fixing PHP_Beautifier's empty lines' problem","<p>I am currently using <a href=""http://pear.php.net/package/PHP%5FBeautifier/"" rel=""nofollow"">PHP_Beautifier</a> for formatting code with the following command like options</p>

<pre><code>-t -l ""ArrayNested() IndentStyles(style=bsd) NewLines(before=T_CLASS:function:T_COMMENT,after=T_COMMENT)""
</code></pre>

<p>It works great except for the fact that it strips out all the blank lines. After a bit of searching, I found it posted as a <a href=""http://pear.php.net/bugs/bug.php?id=12271"" rel=""nofollow"">bug</a> that is open since 2007.</p>

<p>I tried looking into the <a href=""http://beautifyphp.svn.sourceforge.net/viewvc/beautifyphp/trunk/"" rel=""nofollow"">codebase</a> but was unable to locate the specific code that does this. I appreciate any help I can get in the right direction.</p>

<p>Thanks!</p>
","php beautifier php-beautifier"
"130","Can we have a sql express-like database using MySql","<p>Can we create a sql express-like database using MySql.</p>

<p>meaning: the database files can reside in the project's directory and can work on any machine having sql express installed.</p>

<p>Does MySql provide such a facility? and if so, how can this be done</p>

<p>thanks</p>
","mysql"
"131","I want to get header response of a url using a proxy with a username, password, host and port?","<p>I want to get header response of a URL by using proxy username, password, host and port? is there any Linux command to get the same response?</p>
","linux proxy authentication http"
"132","Pipelining within Process Groups","<p>I'm currently reading Advanced Programming in the Unix Environment by Stevens/Rago.</p>

<p>Within the process group section of the book, the author discusses how process groups are utilized commonly by shells for pipelining.</p>

<blockquote>
  <p>For example, the argument shown below could have been generated by
  shell commands of the form:</p>
  
  <p>proc1 | proc2 &amp; proc3 | proc4 | proc5</p>
</blockquote>

<p>Lots of other resources also discuss the relationship between process groups and pipelining. However, the one thing which I cannot find is an explanation of how the pipelining portion of this is implemented.</p>

<p>I know that in Linux shells like Boune-again shell (BASH), processes in a pipeline are executed in parallel -- that is, in the previous example showing <code>proc3 | proc4 | proc5</code>, all three of these processes are simultaneously executed. The stdin of proc4 is connected to the stdin of proc3. (I also know that MS-DOS used temporary files and did not execute pipes in parallel, but let's ignore that for the moment).</p>

<p>So, I've got proc3, proc4, proc5 all in a process group. Fantastic. How does this actually help with creating the pipelines between them?</p>

<p>As far as I can tell, I need to do the following to enable pipelining in a shell which I build:</p>

<ol>
<li>Create N-1 pipelines, where N is the number of processes in the
pipelined statement fork() the shell process N times</li>
<li>In each forked process, I need to use dup2 to properly set up the
shared pipelines</li>
<li>Then, after all of the forked processes have confirmation that they
have all finalized setting up their pipes (likely via some IPC via a
shared memory space), each can then run exec() and actually launch
their respective processes.</li>
</ol>

<p>However, all of the texts which I keep reading act as if process groups provide some magical functionality to create these pipelines -- or they are simply neglecting to mention the procedure I outlined above.</p>

<p>Any comments or advice is always appreciated.</p>
","c linux shell process operating-system"
"133","Error with different screen size in android","<p>i have a gifview class that load a gif in function of screen size in this way:</p>

<pre><code>if((getResources().getConfiguration().screenLayout &amp; Configuration.SCREENLAYOUT_SIZE_MASK) == Configuration.SCREENLAYOUT_SIZE_SMALL){
        gif = ""anim_cerca_ldpi.gif"";
    }else if((getResources().getConfiguration().screenLayout &amp; Configuration.SCREENLAYOUT_SIZE_MASK) == Configuration.SCREENLAYOUT_SIZE_NORMAL){
        gif = ""anim_cerca_mdpi.gif"";
    }else{
        gif = ""anim_cerca_hdpi.gif"";
    }
</code></pre>

<p>The problem is that i try it on galaxy S II and image taken is anim_cerca_ldpi.gif so the small size one. can you help me finding what could be the error?</p>
","android size screen"
"134","Rails – select current menu item","<p>I have made a small helper that adds <code>class=""selected""</code>. Primarily it uses <code>current_page?</code> to investigate if the present path is the current menu item, and the select it.</p>

<pre><code>module MenuHelper
  #renders menu items and emphasizes current menu item
  def topmenu
    pages = {
      ""products"" =&gt; admin_products_path,
      ""categories"" =&gt; admin_categories_path,
      ""catalogs"" =&gt; admin_catalogs_path,
      ""sales channels"" =&gt; admin_sales_channels_path
    }
    pages.map do |key, value|
      classnames = %( class=""current"") if current_page?(value)
      ""&lt;li#{classnames}&gt;#{link_to(key, value)}&lt;/li&gt;""
    end
  end
end
</code></pre>

<p>And in /layouts/application.html.erb:</p>

<pre><code>&lt;ul class=""topmenu""&gt;
&lt;%= topmenu %&gt;
&lt;/ul&gt;
</code></pre>

<p>There is a big flaw in my approach. Selecting <code>/admin/catalogs</code> works like a charm. But any subpages do not (<code>/admin/catalogs/1</code>, etc.)</p>

<p>I think that my approach may be flawed by the limitations of the <a href=""http://api.rubyonrails.org/classes/ActionView/Helpers/UrlHelper.html#M001603"" rel=""nofollow""><code>current_page?</code></a> method</p>

<p>do you have any ideas on how I should either enhance this script to accept similar urls, or is there a smarter way to achieve it?</p>
","ruby-on-rails"
"135","PHP Mysql CHECK row if exist the id","<p>Is my script correct? 
What i want is that check if the id is exist then UPDATE if not exist then INSERT.</p>

<pre><code>$sqlCheckRow = mysql_query( ""SELECT * FROM wctilerack WHERE gameID = '$up_gameID' "" ) or die ( mysql_error() );
$rowCounted = mysql_num_rows( $sqlCheckRow );
if ( $rowCounted == '0' ) {
    // INSERT wctilerack
    $sqlTileINSERT = mysql_query( ""INSERT INTO wctilerack VALUE('', '$up_gameID', '$up_email_player1', '$playerRack' ) "") or die ( mysql_error() );
} elseif ( $rowCounted == '1' ) {
    // INSERT wctilerack
    $sqlTileINSERT = mysql_query( ""UPDATE wctilerack SET tiles = '$playerRack' WHERE gamedID = '$up_gameID'  "") or die ( mysql_error() );
}
</code></pre>

<p>I tested it its working i just like to confirm if the process is correct. </p>

<p>thank you</p>
","php mysql"
"136","Nlog and Custom Levels","<p>i know there are some log levels builtin in nLog like trace, info, fatal etc etc </p>

<p>i want to define some new ones such as ""DBLog"" and be able to only configure all logs with DBlog to be targeted to a certain Target.</p>

<p>is there is any way to do that ? or i have to define a custom log ?</p>
","c# nlog logging"
"137","PopupScreen not show after pushing","<p>I push the pop screen using following code, what pop screen not displays.
Please tell me what I missed.?</p>

<pre><code>LabelField statusMsg =  new LabelField(""Hello"");
PopupScreen statusScreen = new PopupScreen((fieldHFM));
UiApplication app = UiApplication.getUiApplication();
app.pushScreen(statusScreen);
</code></pre>
","blackberry"
"138","Separate projects or multiple class files ... namespace best practice in C#","<p>I'm creating a library for use with an application that I am building.  I am building a name space structure similar to below.</p>

<pre><code>MyNamespace.Validation
MyNamespace.Reports
MyNamespace.Transactions
MyNamespace.DataImport
etc...
</code></pre>

<p>Would it be best practice to create a solution with multiple projects for each sub namespace or one project with multiple class files for each sub namespace?  Thanks.</p>
","c# namespaces projects-and-solutions"
"139","JSP form drop down from database.","<p>so ive got several tables which shows the values in my databases. I can add, edit, and delete them. Now several of these tables have FK relations to each other so to add in some tables must be correctly aligned with values already existing in other tables. Say I have 3 tables (A/B/C) and i want to add something in B which must relate to A and C. I need the form to populate drop downs from both of the tables with existing values so that the user may select them and create an entry. So far i havent had much luck in this.</p>

<p>I have a DAO which querys the server and generates a list of the values in table C. I then have a controller which right now handles displaying the values in B when you go to edit it:</p>

<pre><code>@RequestMapping(value = ""/cmsattribute_add"", method = RequestMethod.GET)
public String Home(ModelMap model, HttpServletRequest request) {
CmsAttributeModel cmsAttribute = new CmsAttributeModel();
CmsGroupModel cmsGroupList = new CmsGroupModel();
model.addAttribute(""cmsAttribute"", cmsAttribute);
return ""/cmsattribute_submit"";
}
</code></pre>

<p>Then the form for table B AKA CmsAttribute which has several other fields but this is one of the ones that needs to be populated from the existing values in the other database called CmsGroup, specifically the IDs of the entries:</p>

<pre><code>&lt;form:form name =""cmsform"" commandName=""cmsAttribute"" action='${linkto}' &gt; 
&lt;tr&gt;
&lt;TD&gt;&lt;span class=""required""&gt;*&lt;/span&gt; CMS Group ID:&lt;/TD&gt;
&lt;td&gt;&lt;form:select path=""cmsGroupId""&gt;
&lt;form:options items=""${cmsGroupList}"" /&gt;
&lt;/form:select&gt;
&lt;/td&gt;
&lt;td&gt;&lt;form:errors path=""cmsGroupId"" cssClass=""required"" /&gt;&lt;/td&gt;
&lt;/tr&gt;
</code></pre>

<p>Right now im just stuck on how to tie them all together. Right now the form page shows a dropdown for the CmsGroup ID values but there is nothing in it. Im quite sure im just missing a method or a call to simply tie everything in.....Thanks</p>
","database forms jsp mvc"
"140","Relationship between integral of $f(x)$ and integral of $f^{-1}(x)$.","<p>$f:[0,\infty) \rightarrow [0,\infty)$ is strictly increasing. $I(a) = \int_0^a f(x) dx$ and $J(b) = \int_0^b f^{-1}(x) dx$.</p>

<p>Which must be correct?</p>

<p>1) $J(b)$ is equal to the area bounded by $x=0,y=b,f(x)$.</p>

<p>2) $a&gt;0$ and $0&lt;b&lt;f(a)$ implies $I(a)+J(b)&lt;ab$.</p>

<p>3) $a&gt;0$ and $b&gt;f(a)$ implies $I(a)+J(b)&gt;ab$.</p>

<p><strong>Attempt</strong></p>

<p>Since the inverse function is the reflection of $f(x)$ in the line $y=x$, point 1) should be correct? Then, point 2) and 3) follows from point 1)?</p>
","calculus integration"
"141","Why does accessing a SSL site with Mechanize on Windows fail, but on Mac work?","<p>This is the code I'm using to connect to the SSL site.</p>

<pre><code>require 'mechanize'
a = Mechanize.new
page = a.get 'https://site.com'
</code></pre>

<p>I""m using using Ruby 1.9.3 and Mechanize 2.1pre1 + dependencies. On Mac the above code works and returns the page. On windows 7 running the same versions it gives me the following error:</p>

<pre><code>OpenSSL::SSL::SSLError: SSL_connect returned=1 errno=0 state=SSLv3
read server certificate B: certificate verify failed
</code></pre>

<p>Reverting to Mechanize 2.0.1 seems to solve this problem, but I then get plagued with the <code>too many connections reset by peer</code> problem. Thus that is not a solution.</p>

<p>I've tried doing <code>a.verify_mode = false</code>, but that does not do anything. I have read that you can turn off SSL verification by using:</p>

<pre><code>open(uri,:ssl_verify_mode =&gt; OpenSSL::SSL::VERIFY_NONE)
</code></pre>

<p>How can I turn it off in Mechanize ? Why am I only getting this error on Windows ?</p>
","ruby mechanize"
